R_fighter,B_fighter,Winner,Excitement
Alex Morono,Khaos Williams,Khaos Williams,22.528
Derrick Lewis,Ilir Latifi,Derrick Lewis,11.71
Trevin Giles,James Krause,Trevin Giles,19.119
Lauren Murphy,Andrea Lee,Lauren Murphy,18.343
Valentina Shevchenko,Katlyn Chookagian,Valentina Shevchenko,23.859
Jon Jones,Dominick Reyes,Jon Jones,36.973
Mirsad Bektic,Dan Ige,Dan Ige,17.194
Juan Adams,Justin Tafa,Justin Tafa,30.574
Domingo Pilarte,Journey Newson,,22.699
Miles Johns,Mario Bautista,Mario Bautista,30.516
Andre Ewell,Jonathan Martinez,Andre Ewell,24.035
Austin Lingo,Youssef Zalal,Youssef Zalal,20.045
Hannah Cifers,Angela Hill,Angela Hill,17.098
Bevon Lewis,Dequan Townsend,Bevon Lewis,14.85
Curtis Blaydes,Junior Dos Santos,Curtis Blaydes,22.982
Jamahal Hill,Darko Stosic,Jamahal Hill,27.57
Rafael Dos Anjos,Michael Chiesa,Michael Chiesa,8.355
Montel Jackson,Felipe Colares,Montel Jackson,22.94
Brett Johns,Tony Gravely,Brett Johns,18.154
Jordan Espinosa,Alex Perez,Alex Perez,7.79
Arnold Allen,Nik Lentz,Arnold Allen,24.515
Justine Kish,Lucie Pudilova,Justine Kish,20.832
Herbert Burns,Nate Landwehr,Herbert Burns,16.452
Sara McMann,Lina Lansberg,Sara McMann,10.063
Aleksei Oleinik,Maurice Greene,Aleksei Oleinik,7.435
Holly Holm,Raquel Pennington,Holly Holm,43.286
Conor McGregor,Donald Cerrone,Conor McGregor,17.737
Andre Fili,Sodiq Yusuff,Sodiq Yusuff,17.252
Brian Kelleher,Ode Osbourne,Brian Kelleher,17.018
Tim Elliott,Askar Askarov,Askar Askarov,21.764
Anthony Pettis,Diego Ferreira,Diego Ferreira,18.596
Drew Dober,Nasrat Haqparast,Drew Dober,26.024
Roxanne Modafferi,Maycee Barber,Roxanne Modafferi,17.115
Aleksa Camur,Justin Ledet,Aleksa Camur,30.003
Sabina Mazo,JJ Aldrich,Sabina Mazo,23.875
Volkan Oezdemir,Aleksandar Rakic,Volkan Oezdemir,25.267
Ciryl Gane,Tanner Boser,Ciryl Gane,27.071
Kyung Ho Kang,Pingyuan Liu,Kyung Ho Kang,10.648
Dooho Choi,Charles Jourdain,Charles Jourdain,24.465
Da Woon Jung,Mike Rodriguez,Da Woon Jung,23.878
JunYong Park,Marc-Andre Barriault,JunYong Park,17.4
Alexandre Pantoja,Matt Schnell,Alexandre Pantoja,19.467
Miranda Granger,Amanda Lemos,Amanda Lemos,25.138
Frankie Edgar,Chan Sung Jung,Chan Sung Jung,16.514
SeungWoo Choi,Suman Mokhtarian,SeungWoo Choi,15.416
Dong Hyun Ma,Omar Morales,Omar Morales,19.791
 Alatengheili,Ryan Benoit, Alatengheili,17.708
Raoni Barcelos,Said Nurmagomedov,Raoni Barcelos,29.86
Ian Heinisch,Omari Akhmedov,Omari Akhmedov,21.973
Kamaru Usman,Colby Covington,Kamaru Usman,31.823
Max Holloway,Alexander Volkanovski,Alexander Volkanovski,27.592
Amanda Nunes,Germaine de Randamie,Amanda Nunes,39.599
Geoff Neal,Mike Perry,Geoff Neal,28.213
Ketlen Vieira,Irene Aldana,Irene Aldana,25.473
Marlon Moraes,Jose Aldo,Marlon Moraes,21.094
Petr Yan,Urijah Faber,Petr Yan,24.472
Chase Hooper,Daniel Teymur,Chase Hooper,15.56
Jessica Eye,Viviane Araujo,Jessica Eye,26.482
Punahele Soriano,Oskar Piechota,Punahele Soriano,27.12
Matt Brown,Ben Saunders,Matt Brown,13.857
Brandon Moreno,Kai Kara-France,Brandon Moreno,19.229
Thiago Alves,Tim Means,Tim Means,19.529
Cody Stamann,Song Yadong,,19.744
Marina Rodriguez,Cynthia Calvillo,,28.711
Aspen Ladd,Yana Santos,Aspen Ladd,18.976
Alistair Overeem,Jairzinho Rozenstruik,Jairzinho Rozenstruik,27.102
Rob Font,Ricky Simon,Rob Font,21.964
Stefan Struve,Ben Rothwell,Ben Rothwell,19.179
Billy Quarantillo,Jacob Kilburn,Billy Quarantillo,19.642
Virna Jandiroba,Mallory Martin,Virna Jandiroba,17.131
Joe Solecki,Matt Wiman,Joe Solecki,16.311
Makhmud Muradov,Trevor Smith,Makhmud Muradov,21.892
Bryce Mitchell,Matt Sayles,Bryce Mitchell,22.042
Ricardo Ramos,Eduardo Garagorri,Ricardo Ramos,23.174
Charles Oliveira,Jared Gordon,Charles Oliveira,24.432
Sergio Moraes,James Krause,James Krause,17.608
Jan Blachowicz,Jacare Souza,Jan Blachowicz,16.163
Mauricio Rua,Paul Craig,,11.967
Antonio Arroyo,Andre Muniz,Andre Muniz,17.994
Markus Perez,Wellington Turman,Wellington Turman,19.948
Francisco Trinaldo,Bobby Green,Francisco Trinaldo,14.203
Vanessa Melo,Tracy Cortez,Tracy Cortez,17.392
Douglas Silva de Andrade,Renan Barao,Douglas Silva de Andrade,20.871
Warlley Alves,Randy Brown,Randy Brown,7.94
Ariane Lipski,Isabela de Padua,Ariane Lipski,13.537
Shamil Gamzatov,Klidson Abreu,Shamil Gamzatov,28.725
Zelim Imadaev,Danny Roberts,Danny Roberts,20.428
Ramazan Emeev,Anthony Rocco Martin,Anthony Rocco Martin,18.318
Rustam Khabilov,Sergey Khandozhko,Rustam Khabilov,12.97
Zabit Magomedsharipov,Calvin Kattar,Zabit Magomedsharipov,28.403
Magomed Ankalaev,Dalcha Lungiambula,Magomed Ankalaev,26.06
Khadis Ibragimov,Ed Herman,Ed Herman,21.122
Alexander Volkov,Greg Hardy,Alexander Volkov,27.167
Alexander Yakovlev,Roosevelt Roberts,Roosevelt Roberts,12.31
Jessica-Rose Clark,Pannie Kianzad,Pannie Kianzad,19.852
Grigory Popov,Davey Grant,Davey Grant,18.271
Abubakar Nurmagomedov,David Zawada,David Zawada,13.816
Roman Kopylov,Karl Roberson,Karl Roberson,28.723
Brad Tavares,Edmen Shahbazyan,Edmen Shahbazyan,23.712
Corey Anderson,Johnny Walker,Corey Anderson,19.897
Jorge Masvidal,Nate Diaz,Jorge Masvidal,16.551
Kelvin Gastelum,Darren Till,Darren Till,23.794
Shane Burgos,Makwan Amirkhani,Shane Burgos,24.987
Derrick Lewis,Blagoy Ivanov,Derrick Lewis,21.775
Andrei Arlovski,Jairzinho Rozenstruik,Jairzinho Rozenstruik,28.567
Kevin Lee,Gregor Gillespie,Kevin Lee,25.491
Stephen Thompson,Vicente Luque,Stephen Thompson,23.238
Lyman Good,Chance Rencountre,Lyman Good,21.938
Julio Arce,Hakeem Dawodu,Hakeem Dawodu,20.957
Katlyn Chookagian,Jennifer Maia,Katlyn Chookagian,20.642
Enrique Barzola,Movsar Evloev,Movsar Evloev,23.342
Muslim Salikhov,Laureano Staropoli,Muslim Salikhov,30.269
Michael Johnson,Stevie Ray,Stevie Ray,19.046
Demian Maia,Ben Askren,Demian Maia,26.78
Frank Camacho,Beneil Dariush,Beneil Dariush,15.833
Randa Markos,Ashley Yoder,Randa Markos,14.701
Ciryl Gane,Don'Tale Mayes,Ciryl Gane,26.495
Raphael Pessoa,Jeff Hughes,Raphael Pessoa,26.664
Maurice Greene,Sergei Pavlovich,Sergei Pavlovich,23.266
Alex White,Rafael Fiziev,Rafael Fiziev,20.564
Loma Lookboonmee,Aleksandra Albu,Loma Lookboonmee,29.029
Dominick Reyes,Chris Weidman,Dominick Reyes,21.92
Greg Hardy,Ben Sosoli,,28.208
Molly McCann,Diana Belbita,Molly McCann,19.534
Yair Rodriguez,Jeremy Stephens,Yair Rodriguez,48.096
Charles Rosa,Manny Bermudez,Charles Rosa,22.229
Maycee Barber,Gillian Robertson,Maycee Barber,24.368
Deron Winn,Darren Stewart,Darren Stewart,22.47
Court McGee,Sean Brady,Sean Brady,26.352
Brendan Allen,Kevin Holland,Brendan Allen,11.141
Randy Costa,Boston Salmon,Randy Costa,23.658
Joe Lauzon,Jonathan Pearce,Joe Lauzon,18.201
Kyle Bochniak,Sean Woodson,Sean Woodson,22.021
Daniel Spitz,Tanner Boser,Tanner Boser,21.685
Eryk Anders,Gerald Meerschaert,Eryk Anders,19.518
Joanna Jedrzejczyk,Michelle Waterson-Gomez,Joanna Jedrzejczyk,18.804
Mackenzie Dern,Amanda Ribas,Amanda Ribas,25.734
Matt Frevola,Luis Pena,Matt Frevola,24.135
Ryan Spann,Devin Clark,Ryan Spann,17.14
Cub Swanson,Kron Gracie,Cub Swanson,28.406
Deiveson Figueiredo,Tim Elliott,Deiveson Figueiredo,31.519
Max Griffin,Alex Morono,Alex Morono,17.785
Marlon Vera,Andre Ewell,Marlon Vera,19.218
Niko Price,James Vick,Niko Price,15.985
Mike Davis,Thomas Gifford,Mike Davis,23.42
Marvin Vettori,Andrew Sanchez,Marvin Vettori,18.977
JJ Aldrich,Lauren Mueller,JJ Aldrich,19.938
Miguel Baeza,Hector Aldana,Miguel Baeza,27.987
Callan Potter,Maki Pitolo,Callan Potter,12.467
Brad Riddell,Jamie Mullarkey,Brad Riddell,25.963
Robert Whittaker,Israel Adesanya,Israel Adesanya,26.166
Tai Tuivasa,Serghei Spivac,Serghei Spivac,17.398
Megan Anderson,Zarah Fairn,Megan Anderson,9.236
Justin Tafa,Yorgan De Castro,Yorgan De Castro,28.825
Al Iaquinta,Dan Hooker,Dan Hooker,17.174
Nadia Kassem,Ji Yeon Kim,Ji Yeon Kim,24.153
Jake Matthews,Rostem Akman,Jake Matthews,23.479
Luke Jumeau,Dhiego Lima,Dhiego Lima,15.35
Khalid Taha,Bruno Silva,,12.699
Michal Oleksiejczuk,Ovince Saint Preux,Ovince Saint Preux,20.587
Alessio Di Chirico,Makhmud Muradov,Makhmud Muradov,18.547
Jack Hermansson,Jared Cannonier,Jared Cannonier,20.622
Alen Amedovski,John Phillips,John Phillips,22.472
Gunnar Nelson,Gilbert Burns,Gilbert Burns,18.411
Nicolas Dalby,Alex Oliveira,Nicolas Dalby,13.098
Mark Madsen,Danilo Belluardo,Mark Madsen,17.021
Ion Cutelaba,Khalil Rountree Jr.,Ion Cutelaba,15.922
Marc Diakiese,Lando Vannata,Marc Diakiese,16.88
Macy Chiasson,Lina Lansberg,Lina Lansberg,18.236
Brandon Davis,Giga Chikadze,Giga Chikadze,18.798
Siyar Bahadurzada,Ismail Naurdiev,Ismail Naurdiev,14.547
Jack Shore,Nohelin Hernandez,Jack Shore,19.251
Yair Rodriguez,Jeremy Stephens,,29.826
Irene Aldana,Vanessa Melo,Irene Aldana,19.01
Carla Esparza,Alexa Grasso,Carla Esparza,18.681
Brandon Moreno,Askar Askarov,,18.677
Ariane Carnelossi,Angela Hill,Angela Hill,25.257
Martin Bravo,Steven Peterson,Steven Peterson,23.538
Vinicius Moreira,Paul Craig,Paul Craig,8.146
Marco Polo Reyes,Kyle Nelson,Kyle Nelson,19.311
Sijara Eubanks,Bethe Correia,Bethe Correia,18.344
Sergio Pettis,Tyson Nam,Sergio Pettis,18.239
Jose Quinonez,Carlos Huachin,Jose Quinonez,17.121
Claudio Puelles,Marcos Mariano,Claudio Puelles,11.424
Marcin Tybura,Augusto Sakai,Augusto Sakai,31.796
Cole Smith,Miles Johns,Miles Johns,21.649
Donald Cerrone,Justin Gaethje,Justin Gaethje,25.404
Uriah Hall,Antonio Carlos Junior,Uriah Hall,10.492
Todd Duffee,Jeff Hughes,,15.565
Michel Pereira,Tristan Connelly,Tristan Connelly,13.511
Glover Teixeira,Nikita Krylov,Glover Teixeira,15.774
Misha Cirkunov,Jimmy Crute,Misha Cirkunov,19.418
Chas Skelly,Jordan Griffin,Chas Skelly,11.387
Brad Katona,Hunter Azure,Hunter Azure,26.264
Louis Smolka,Ryan MacDonald,Louis Smolka,27.182
Kyle Prepolec,Austin Hubbard,Austin Hubbard,15.54
Curtis Blaydes,Shamil Abdurakhimov,Curtis Blaydes,15.206
Islam Makhachev,Davi Ramos,Islam Makhachev,23.859
Mairbek Taisumov,Diego Ferreira,Diego Ferreira,23.017
Joanne Wood,Andrea Lee,Joanne Wood,18.683
Edson Barboza,Paul Felder,Paul Felder,47.007
Khabib Nurmagomedov,Dustin Poirier,Khabib Nurmagomedov,18.39
Zubaira Tukhugov,Lerone Murphy,,18.259
Liana Jojua,Sarah Moras,Sarah Moras,13.413
Omari Akhmedov,Zak Cummings,Omari Akhmedov,15.262
Ottman Azaitar,Teemu Packalen,Ottman Azaitar,31.205
Nordine Taleb,Muslim Salikhov,Muslim Salikhov,22.316
Belal Muhammad,Takashi Sato,Belal Muhammad,23.024
Don Madge,Fares Ziam,Don Madge,11.956
Jessica Andrade,Zhang Weili,Zhang Weili,25.54
Li Jingliang,Elizeu Zaleski dos Santos,Li Jingliang,20.227
Kai Kara-France,Mark De La Rosa,Kai Kara-France,22.719
Song Kenan,Derrick Krantz,Song Kenan,15.367
Wu Yanan,Mizuki,Mizuki ,22.579
 Sumudaerji,Andre Soukhamthath, Sumudaerji,17.668
JunYong Park,Anthony Hernandez,Anthony Hernandez,22.256
Da Woon Jung,Khadis Ibragimov,Da Woon Jung,25.931
 Alatengheili,Batgerel Danaa, Alatengheili,23.327
Karol Rosa,Lara Procopio,Karol Rosa,29.661
Damir Ismagulov,Thiago Moises,Damir Ismagulov,24.498
Derek Brunson,Ian Heinisch,Derek Brunson,25.252
Gabriel Benitez,Sodiq Yusuff,Sodiq Yusuff,22.365
Anthony Pettis,Nate Diaz,Nate Diaz,16.238
Yoel Romero,Paulo Costa,Paulo Costa,30.471
Daniel Cormier,Stipe Miocic,Stipe Miocic,59.739
Devonte Smith,Khama Worthy,Khama Worthy,28.703
Raphael Assuncao,Cory Sandhagen,Cory Sandhagen,24.274
Manny Bermudez,Casey Kenney,Casey Kenney,26.791
Christos Giagos,Drakkar Klose,Drakkar Klose,22.603
Sabina Mazo,Shana Dobson,Sabina Mazo,17.807
Kyung Ho Kang,Brandon Davis,Kyung Ho Kang,15.7
Hannah Cifers,Jodie Esquibel,Hannah Cifers,17.147
Volkan Oezdemir,Ilir Latifi,Volkan Oezdemir,18.441
Vicente Luque,Mike Perry,Vicente Luque,19.26
Gilbert Burns,Aleksei Kunchenko,Gilbert Burns,24.561
Enrique Barzola,Bobby Moffett,Enrique Barzola,18.68
Ciryl Gane,Raphael Pessoa,Ciryl Gane,34.363
Rodolfo Vieira,Oskar Piechota,Rodolfo Vieira,26.173
Eduardo Garagorri,Humberto Bandenay,Eduardo Garagorri,25.173
Valentina Shevchenko,Liz Carmouche,Valentina Shevchenko,16.2
Rogerio Bontorin,Raulian Paiva,Rogerio Bontorin,25.12
Kazula Vargas,Alex Da Silva,Alex Da Silva,18.425
Tecia Torres,Marina Rodriguez,Marina Rodriguez,23.41
Geraldo de Freitas,Chris Gutierrez,Chris Gutierrez,16.171
Veronica Hardy,Polyana Viana,Veronica Hardy,16.361
Scott Holtzman,Dong Hyun Ma,Scott Holtzman,13.845
Antonina Shevchenko,Lucie Pudilova,Antonina Shevchenko,20.089
Mickey Gall,Salim Touahri,Mickey Gall,16.533
Trevin Giles,Gerald Meerschaert,Gerald Meerschaert,15.896
Darko Stosic,Kennedy Nzechukwu,Kennedy Nzechukwu,28.218
Joaquim Silva,Nasrat Haqparast,Nasrat Haqparast,26.122
Jim Miller,Clay Guida,Jim Miller,15.776
Jordan Espinosa,Matt Schnell,Matt Schnell,19.479
Colby Covington,Robbie Lawler,Colby Covington,21.521
Claudio Silva,Cole Williams,Claudio Silva,29.279
Lauren Murphy,Mara Romero Borella,Lauren Murphy,13.589
Miranda Granger,Hannah Goldy,Miranda Granger,30.815
Cristiane Justino,Felicia Spencer,Cristiane Justino,30.151
Alexis Davis,Viviane Araujo,Viviane Araujo,23.518
Gavin Tucker,SeungWoo Choi,Gavin Tucker,22.593
Hakeem Dawodu,Yoshinori Horie,Hakeem Dawodu,31.91
Max Holloway,Frankie Edgar,Max Holloway,20.164
Geoff Neal,Niko Price,Geoff Neal,23.111
Marc-Andre Barriault,Krzysztof Jotko,Krzysztof Jotko,19.023
Alexandre Pantoja,Deiveson Figueiredo,Deiveson Figueiredo,28.081
Gillian Robertson,Sarah Frota,Gillian Robertson,18.429
Olivier Aubin-Mercier,Arman Tsarukyan,Arman Tsarukyan,17.508
Erik Koch,Kyle Stewart,Erik Koch,15.474
Raquel Pennington,Irene Aldana,Raquel Pennington,13.625
Andrei Arlovski,Ben Rothwell,Andrei Arlovski,20.166
Alex Caceres,Steven Peterson,Alex Caceres,18.413
James Vick,Dan Hooker,Dan Hooker,21.076
Greg Hardy,Juan Adams,Greg Hardy,30.285
Aleksei Oleinik,Walt Harris,Walt Harris,19.484
Alexander Hernandez,Francisco Trinaldo,Alexander Hernandez,19.377
Rafael Dos Anjos,Leon Edwards,Leon Edwards,18.712
Sam Alvey,Klidson Abreu,Klidson Abreu,18.397
Domingo Pilarte,Felipe Colares,Felipe Colares,22.531
Ray Borg,Gabriel Silva,Ray Borg,19.753
Roxanne Modafferi,Jennifer Maia,Jennifer Maia,12.617
Mario Bautista,Jin Soo Son,Mario Bautista,25.709
Marvin Vettori,Cezar Ferreira,Marvin Vettori,20.279
Karl Roberson,Wellington Turman,Karl Roberson,18.581
Josh Emmett,Mirsad Bektic,Josh Emmett,28.771
Mike Rodriguez,John Allan,,25.311
Julianna Pena,Nicco Montano,Julianna Pena,13.277
Urijah Faber,Ricky Simon,Urijah Faber,29.556
Pingyuan Liu,Jonathan Martinez,Jonathan Martinez,20.298
Andre Fili,Sheymon Moraes,Andre Fili,20.823
Germaine de Randamie,Aspen Ladd,Germaine de Randamie,28.062
Darren Elkins,Ryan Hall,Ryan Hall,21.941
Benito Lopez,Vince Morales,Benito Lopez,26.284
Livinha Souza,Brianna Fortino,Brianna Fortino,23.086
Amanda Nunes,Holly Holm,Amanda Nunes,24.71
Jan Blachowicz,Luke Rockhold,Jan Blachowicz,17.079
Gilbert Melendez,Arnold Allen,Arnold Allen,23.945
Marlon Vera,Nohelin Hernandez,Marlon Vera,14.464
Jon Jones,Thiago Santos,Jon Jones,29.134
Ismail Naurdiev,Chance Rencountre,Chance Rencountre,14.73
Claudia Gadelha,Randa Markos,Claudia Gadelha,18.774
Jorge Masvidal,Ben Askren,Jorge Masvidal,24.112
Diego Sanchez,Michael Chiesa,Michael Chiesa,12.295
Alejandro Perez,Song Yadong,Song Yadong,16.358
Julia Avila,Pannie Kianzad,Julia Avila,17.619
Edmen Shahbazyan,Jack Marshman,Edmen Shahbazyan,20.391
Eryk Anders,Vinicius Moreira,Eryk Anders,20.225
Drew Dober,Marco Polo Reyes,Drew Dober,21.829
Demian Maia,Anthony Rocco Martin,Demian Maia,10.521
Jussier Formiga,Joseph Benavidez,Joseph Benavidez,44.789
Francis Ngannou,Junior Dos Santos,Francis Ngannou,23.844
Alonzo Menifield,Paul Craig,Alonzo Menifield,22.109
Ricardo Ramos,Journey Newson,Ricardo Ramos,22.871
Jared Gordon,Dan Moret,Jared Gordon,14.589
Dalcha Lungiambula,Dequan Townsend,Dalcha Lungiambula,20.601
Emily Whitmire,Amanda Ribas,Amanda Ribas,12.17
Maurice Greene,Junior Albini,Maurice Greene,17.174
Roosevelt Roberts,Vinc Pichel,Vinc Pichel,19.347
Renato Moicano,Chan Sung Jung,Chan Sung Jung,11.865
Matt Wiman,Luis Pena,Luis Pena,19.739
Andrea Lee,Montana De La Rosa,Andrea Lee,17.709
Andre Ewell,Anderson Dos Santos,Andre Ewell,16.086
Bryan Barberena,Randy Brown,Randy Brown,19.275
Kevin Holland,Alessio Di Chirico,Kevin Holland,22.27
Dan Ige,Kevin Aguilar,Dan Ige,23.137
Allen Crowder,Jairzinho Rozenstruik,Jairzinho Rozenstruik,19.438
Deron Winn,Eric Spicely,Deron Winn,28.045
Ashley Yoder,Syuri Kondo,Ashley Yoder,15.349
Ariane Lipski,Molly McCann,Molly McCann,20.775
Karolina Kowalkiewicz,Alexa Grasso,Alexa Grasso,22.165
Henry Cejudo,Marlon Moraes,Henry Cejudo,24.56
Tai Tuivasa,Blagoy Ivanov,Blagoy Ivanov,25.051
Tony Ferguson,Donald Cerrone,Tony Ferguson,25.265
Jimmie Rivera,Petr Yan,Petr Yan,27.273
Valentina Shevchenko,Jessica Eye,Valentina Shevchenko,12.658
Aljamain Sterling,Pedro Munhoz,Aljamain Sterling,26.538
Tatiana Suarez,Nina Nunes,Tatiana Suarez,22.485
Ricardo Lamas,Calvin Kattar,Calvin Kattar,24.238
Yan Xiaonan,Angela Hill,Yan Xiaonan,24.36
Katlyn Chookagian,Joanne Wood,Katlyn Chookagian,22.921
Bevon Lewis,Darren Stewart,Darren Stewart,20.204
Eddie Wineland,Grigory Popov,Eddie Wineland,26.547
Tonya Evinger,Lina Lansberg,Lina Lansberg,11.563
Daniel Teymur,Sung Bin Jo,Daniel Teymur,24.477
Damir Hadzovic,Christos Giagos,Christos Giagos,13.541
Jimi Manuwa,Aleksandar Rakic,Aleksandar Rakic,28.584
Rostem Akman,Sergey Khandozhko,Sergey Khandozhko,23.479
Stevie Ray,Leonardo Santos,Leonardo Santos,18.684
Bea Malecki,Duda Santana,Bea Malecki,25.336
Joel Alvarez,Danilo Belluardo,Joel Alvarez,19.269
Makwan Amirkhani,Chris Fishgold,Makwan Amirkhani,19.984
Darko Stosic,Devin Clark,Devin Clark,20.353
Alexander Gustafsson,Anthony Smith,Anthony Smith,20.696
Nick Hein,Frank Camacho,Frank Camacho,21.919
Rafael Dos Anjos,Kevin Lee,Rafael Dos Anjos,12.927
Megan Anderson,Felicia Spencer,Felicia Spencer,19.191
Antonio Carlos Junior,Ian Heinisch,Ian Heinisch,21.518
Aspen Ladd,Sijara Eubanks,Aspen Ladd,22.427
Davi Ramos,Austin Hubbard,Davi Ramos,24.45
Vicente Luque,Derrick Krantz,Vicente Luque,15.791
Charles Oliveira,Nik Lentz,Charles Oliveira,45.618
Danny Roberts,Michel Pereira,Michel Pereira,22.967
Desmond Green,Charles Jourdain,Desmond Green,26.373
Michael Trizano,Grant Dawson,Grant Dawson,24.361
Julio Arce,Julian Erosa,Julio Arce,21.243
Patrick Cummins,Ed Herman,Ed Herman,22.322
Zak Cummings,Trevin Giles,Zak Cummings,26.619
Rose Namajunas,Jessica Andrade,Jessica Andrade,19.602
Warlley Alves,Sergio Moraes,Warlley Alves,20.781
Thiago Alves,Laureano Staropoli,Laureano Staropoli,24.061
Irene Aldana,Bethe Correia,Irene Aldana,19.314
Jared Cannonier,Anderson Silva,Jared Cannonier,23.431
Rogerio Nogueira,Ryan Spann,Ryan Spann,13.576
Thiago Moises,Kurt Holobaugh,Thiago Moises,12.768
Jose Aldo,Alexander Volkanovski,Alexander Volkanovski,23.352
Talita Bernardo,Viviane Araujo,Viviane Araujo,23.947
Luana Carolina,Priscila Cachoeira,Luana Carolina,26.952
Raoni Barcelos,Carlos Huachin,Raoni Barcelos,20.981
BJ Penn,Clay Guida,Clay Guida,16.072
Marc-Andre Barriault,Andrew Sanchez,Andrew Sanchez,23.154
Walt Harris,Serghei Spivac,Walt Harris,27.105
Cub Swanson,Shane Burgos,Shane Burgos,27.4
Brad Katona,Merab Dvalishvili,Merab Dvalishvili,22.671
Macy Chiasson,Sarah Moras,Macy Chiasson,19.667
Aiemann Zahabi,Vince Morales,Vince Morales,23.756
Derek Brunson,Elias Theodorou,Derek Brunson,24.189
Nordine Taleb,Kyle Prepolec,Nordine Taleb,20.749
Al Iaquinta,Donald Cerrone,Donald Cerrone,20.305
Kyle Nelson,Matt Sayles,Matt Sayles,18.21
Arjan Bhullar,Juan Adams,Arjan Bhullar,30.806
Mitch Gagnon,Cole Smith,Cole Smith,16.552
Greg Hardy,Dmitrii Smoliakov,Greg Hardy,24.681
Ben Saunders,Takashi Sato,Takashi Sato,24.685
Alex Oliveira,Mike Perry,Mike Perry,17.731
John Lineker,Cory Sandhagen,Cory Sandhagen,26.165
Jacare Souza,Jack Hermansson,Jack Hermansson,18.688
Andrei Arlovski,Augusto Sakai,Augusto Sakai,23.102
Roosevelt Roberts,Thomas Gifford,Roosevelt Roberts,16.376
Glover Teixeira,Ion Cutelaba,Glover Teixeira,22.662
Angela Hill,Jodie Esquibel,Angela Hill,19.81
Court McGee,Dhiego Lima,Dhiego Lima,17.403
Carla Esparza,Virna Jandiroba,Carla Esparza,20.799
Jim Miller,Jason Gonzalez,Jim Miller,17.097
Gilbert Burns,Mike Davis,Gilbert Burns,20.422
Alistair Overeem,Aleksei Oleinik,Alistair Overeem,20.269
Alexander Yakovlev,Alex Da Silva,Alexander Yakovlev,19.782
Sergei Pavlovich,Marcelo Golm,Sergei Pavlovich,28.098
Islam Makhachev,Arman Tsarukyan,Islam Makhachev,28.372
Roxanne Modafferi,Antonina Shevchenko,Roxanne Modafferi,19.73
Krzysztof Jotko,Alen Amedovski,Krzysztof Jotko,21.606
Marcin Tybura,Shamil Abdurakhimov,Shamil Abdurakhimov,21.548
Movsar Evloev,SeungWoo Choi,Movsar Evloev,25.94
Magomed Mustafaev,Rafael Fiziev,Magomed Mustafaev,33.99
Sultan Aliev,Keita Nakamura,Sultan Aliev,15.988
Gadzhimurad Antigulov,Michal Oleksiejczuk,Michal Oleksiejczuk,24.739
Jalin Turner,Matt Frevola,Matt Frevola,13.921
Alan Jouban,Dwight Grant,Dwight Grant,20.076
Max Griffin,Zelim Imadaev,Max Griffin,21.648
Max Holloway,Dustin Poirier,Dustin Poirier,50.543
Kelvin Gastelum,Israel Adesanya,Israel Adesanya,28.419
Eryk Anders,Khalil Rountree Jr.,Khalil Rountree Jr.,18.049
Boston Salmon,Khalid Taha,Khalid Taha,22.625
Ovince Saint Preux,Nikita Krylov,Nikita Krylov,41.397
Wilson Reis,Alexandre Pantoja,Alexandre Pantoja,16.41
Curtis Millender,Belal Muhammad,Belal Muhammad,16.306
Montel Jackson,Andre Soukhamthath,Montel Jackson,22.088
Lauren Mueller,Poliana Botelho,Poliana Botelho,19.149
Brandon Davis,Randy Costa,Brandon Davis,23.848
Kennedy Nzechukwu,Paul Craig,Paul Craig,23.625
Sodiq Yusuff,Sheymon Moraes,Sodiq Yusuff,24.401
Edson Barboza,Justin Gaethje,Justin Gaethje,22.333
David Branch,Jack Hermansson,Jack Hermansson,13.301
Karolina Kowalkiewicz,Michelle Waterson-Gomez,Michelle Waterson-Gomez,19.137
Josh Emmett,Michael Johnson,Josh Emmett,20.95
